,GRTS.Cell.ID,Quadrant,Lat,Long,Years_Sampled,N_Years,Species_2025
1,986,NE,53.188,-121.302249,"20,182,019,202,020,200,000,000,000,000,000",8,"EPFU, LABO, LACI, LANO, MYCA, MYEV, MYLU, MYSE, MYVO"
2,986,SE,53.139202,-121.257697,"20,182,019,202,020,200,000,000,000,000,000",8,"EPFU, LABO, LACI, LANO, MYCA, MYEV, MYLU, MYSE, MYVO"
3,1194,NW,50.117491,-117.522995,"2,016,201,720,182,010,000,000,000,000,000,000,000,000",10,"LANO, MYCA, MYEV, MYLU, MYVO"
4,1194,SW1,50.0903,-117.4679,"201,620,172,018,201,000,000,000",6,NA
5,1194,SW2,50.064954,-117.466873,"20,202,022,202,320,200,000",5,"EPFU, LACI, LANO, MYCA, MYEV, MYLU, MYVO, MYYU"
6,5994,NE,49.260667,-115.248935,"20,202,021,202,220,200,000",5,NA
7,5994,SE,49.212282,-115.26277,"20,202,021,202,220,200,000",5,NA
8,6202,NE,48.537407,-123.501191,"2,016,201,820,192,020,000,000,000,000",7,NA
9,6202,NE2,48.52997,-123.52775,"20,232,025",2,"EPFU, LACI, LANO, MYCA, MYEV, MYLU, MYVO, MYYU"
10,6202,NW,48.507881,-123.600878,"201,820,192,020,202,000,000,000",6,NA
11,6202,SE,48.4893431,-123.5078995,"2,018,201,920,212,020",4,NA
12,6202,SW,48.486373,-123.549127,"2,018,201,920,202,020,000,000,000,000",7,"COTO, EPFU, LACI, LANO, MYCA, MYEV, MYLU, MYVO, MYYU"
13,9466,NE,57.34435226,-125.5093223,"20,222,024",2,NA
14,9466,NW,57.345896,-125.5503739,"202,220,242,025",3,"LABO, LANO, MYEV, MYLU, MYSE, MYVO"
15,9466,SE,57.31574876,-125.4903741,"202,220,242,025",3,"LABO, LACI, LANO, MYEV, MYLU, MYVO"
16,9466,SW,57.2948285,-125.5147378,"202,220,242,025",3,"LABO, LACI, LANO, MYEV, MYLU, MYSE, MYVO"
17,12522,NE,49.721545,-124.515633,"201,620,172,019,202,000,000,000",6,NA
18,12522,NW,49.757569,-124.563075,"201,620,172,018,201,000,000,000",6,NA
19,12522,SE,49.70213,-124.47636,"2,016,201,720,182,020,000,000,000,000",7,NA
