"SpeciesGroup","Estimate","SE","z value","p.value","intercept.Estimate","intercept.Std. Error","intercept.z value","intercept.Pr(>|z|)","n"
"ANPA", 0.074144832,0.03900988, 1.9006681,5.734550e-02,-1.091178e+00, 7.595306e-01,-1.436648e+00, 1.508181e-01,210
"COTO", 0.120527132,0.03284315, 3.6697795,2.427598e-04,-4.118925e+00, 5.193203e-01,-7.931376e+00, 2.167305e-15,754
"EPFU", 0.124391967,0.03842928, 3.2369059,1.208333e-03,-1.344160e+00, 5.637489e-01,-2.384324e+00, 1.711054e-02,789
"EUMA", 0.152124761,0.07716651, 1.9713832,4.868006e-02,-8.772814e-01, 1.141975e+00,-7.682140e-01, 4.423601e-01,287
"LABO",-0.005756094,0.02880734,-0.1998134,8.416265e-01,-1.223074e+00, 5.534050e-01,-2.210089e+00, 2.709899e-02,400
"LACI", 0.206471589,0.17020722, 1.2130601,2.251068e-01,-1.771140e+00, 5.981566e-01,-2.960997e+00, 3.066448e-03,920
"LANO", 0.121262833,0.02554312, 4.7473769,2.060718e-06,-4.526087e-01, 7.851520e-01,-5.764600e-01, 5.643043e-01,934
"MYCA", 0.080575210,0.02156729, 3.7359915,1.869770e-04,-3.896603e-01, 4.553771e-01,-8.556872e-01, 3.921708e-01,857
"MYCI", 0.058163300,0.03156249, 1.8427981,6.535850e-02, 4.410750e-01, 7.943344e-01, 5.552762e-01, 5.787057e-01,314
"MYEV", 0.018667755,0.02970934, 0.6283463,5.297771e-01,-4.614436e-01, 4.486756e-01,-1.028457e+00, 3.037349e-01,788
"MYLU", 0.056217192,0.02109256, 2.6652619,7.692838e-03, 7.988200e-01, 4.264317e-01, 1.873266e+00, 6.103168e-02,934
"MYSE",-0.013363801,0.07043614,-0.1897293,8.495212e-01,-1.528915e+00, 1.726776e+00,-8.854164e-01, 3.759321e-01,298
"MYTH",-0.049744141,0.04543840,-1.0947600,2.736218e-01,-3.890858e+00, 6.854261e-01,-5.676553e+00, 1.374360e-08,466
"MYVO", 0.075792219,0.02140868, 3.5402562,3.997387e-04, 9.185007e-02, 4.044155e-01, 2.271181e-01, 8.203319e-01,923
"MYYU", 0.027851632,0.04182411, 0.6659229,5.054604e-01,-1.670151e+00, 6.658277e-01,-2.508383e+00, 1.212850e-02,701
