"","Region","SpeciesGroup","Estimate","Std. Error","z value","Pr(>|z|)","intercept.Estimate","intercept.Std. Error","intercept.z value","intercept.Pr(>|z|)","n"
"1","Kootenay Region","ANPA", 0.125773757,0.06041180, 2.08194019,0.0373479330,-1.405848e+00, 1.194273e+00,-1.177159e+00, 2.391322e-01,102
"2","Kootenay Region","COTO", 0.075835496,0.04853582, 1.56246435,0.1181786383,-3.473531e+00, 8.228221e-01,-4.221485e+00, 2.426981e-05,236
"3","Kootenay Region","EPFU", 0.023475367,0.06240131, 0.37619989,0.7067682946,-4.504990e-01, 1.020580e+00,-4.414149e-01, 6.589127e-01,217
"4","Kootenay Region","LABO", 0.020207211,0.05278311, 0.38283480,0.7018422597,-2.653712e+00, 1.345691e+00,-1.972007e+00, 4.860877e-02, 94
"5","Kootenay Region","LACI", 0.539832421,0.30114954, 1.79257259,0.0730412921,-3.669609e+00, 1.111357e+00,-3.301916e+00, 9.602680e-04,237
"6","Kootenay Region","LANO", 0.170548683,0.04230918, 4.03100905,0.0000555379,-1.821367e+00, 1.240549e+00,-1.468194e+00, 1.420514e-01,249
"7","Kootenay Region","MYCA", 0.033247676,0.03499887, 0.94996418,0.3421304555, 5.931831e-01, 7.940216e-01, 7.470617e-01, 4.550263e-01,249
"8","Kootenay Region","MYCI", 0.073906687,0.04129301, 1.78981130,0.0734842520,-1.440133e+00, 1.079406e+00,-1.334190e+00, 1.821416e-01,105
"9","Kootenay Region","MYEV",-0.016477115,0.04855082,-0.33937870,0.7343244654,-4.994215e-01, 7.024428e-01,-7.109783e-01, 4.770977e-01,212
"10","Kootenay Region","MYLU", 0.106111938,0.03281933, 3.23321465,0.0012240555,-4.317571e-01, 6.198786e-01,-6.965188e-01, 4.861040e-01,249
"11","Kootenay Region","MYSE",-0.207723735,0.09822120,-2.11485641,0.0344421871,-8.405563e-01, 2.379400e+00,-3.532639e-01, 7.238906e-01,132
"12","Kootenay Region","MYTH",-0.015549579,0.07169048,-0.21689881,0.8282872061,-4.111000e+00, 1.205467e+00,-3.410297e+00, 6.489225e-04,162
"13","Kootenay Region","MYVO", 0.056012080,0.03282237, 1.70652144,0.0879110386,-1.015853e+00, 6.365156e-01,-1.595960e+00, 1.104978e-01,249
"14","Kootenay Region","MYYU",-0.094635791,0.07750154,-1.22108270,0.2220547093,-1.668671e+00, 1.253354e+00,-1.331365e+00, 1.830689e-01,212
"15","Northern Region","EPFU", 0.018467180,0.12360889, 0.14940010,0.8812379322, 7.547410e-01, 1.478788e+00, 5.103780e-01, 6.097867e-01,152
"16","Northern Region","LABO",-0.009226992,0.04907737,-0.18800911,0.8508695108, 4.830271e-01, 8.271580e-01, 5.839599e-01, 5.592473e-01,156
"17","Northern Region","LACI", 1.047434205,0.60608290, 1.72820288,0.0839518576,-2.320577e+00, 2.042148e+00,-1.136341e+00, 2.558137e-01,163
"18","Northern Region","LANO", 0.010737044,0.07235329, 0.14839745,0.8820291106, 1.470657e+00, 2.024430e+00, 7.264550e-01, 4.675599e-01,192
"19","Northern Region","MYCA", 0.011916099,0.05504448, 0.21648127,0.8286126198,-1.843023e+00, 9.825850e-01,-1.875688e+00, 6.069816e-02,115
"20","Northern Region","MYEV", 0.006218735,0.07557931, 0.08228092,0.9344233251, 1.016099e+00, 8.858428e-01, 1.147042e+00, 2.513642e-01,163
"21","Northern Region","MYLU",-0.045369679,0.04448200,-1.01995580,0.3077494231, 4.055245e+00, 7.807156e-01, 5.194267e+00, 2.055281e-07,192
"22","Northern Region","MYSE", 0.163380577,0.09147451, 1.78607757,0.0740866996,-3.672413e+00, 2.486522e+00,-1.476928e+00, 1.396951e-01,166
"23","Northern Region","MYVO",-0.026910100,0.05374670,-0.50068374,0.6165937160, 3.048880e+00, 9.357598e-01, 3.258187e+00, 1.121266e-03,181
"24","Northern Region","MYYU",-0.224793819,0.11113693,-2.02267430,0.0431067381,-4.101930e+00, 1.688854e+00,-2.428825e+00, 1.514784e-02, 76
"25","Okanagan Region","ANPA", 0.072878249,0.05308773, 1.37278884,0.1698179999,-2.134786e+00, 1.078441e+00,-1.979511e+00, 4.775847e-02,108
"26","Okanagan Region","COTO", 0.131069185,0.07155380, 1.83175718,0.0669876056,-4.552271e+00, 1.067068e+00,-4.266150e+00, 1.988750e-05,190
"27","Okanagan Region","EPFU", 0.079255432,0.07323283, 1.08223909,0.2791463011,-5.016690e-01, 1.042628e+00,-4.811580e-01, 6.304042e-01,168
"28","Okanagan Region","EUMA", 0.073042882,0.08235651, 0.88691083,0.3751269092,-7.992275e-01, 1.105847e+00,-7.227286e-01, 4.698467e-01,230
"29","Okanagan Region","LABO",-0.006851781,0.05270110,-0.13001211,0.8965568420,-1.370028e+00, 1.018985e+00,-1.344503e+00, 1.787859e-01,150
"30","Okanagan Region","LACI",-0.284260228,0.32311989,-0.87973609,0.3790022923,-4.958797e-01, 1.128607e+00,-4.393732e-01, 6.603912e-01,192
"31","Okanagan Region","LANO", 0.054902576,0.05208757, 1.05404366,0.2918629288,-1.374579e-01, 1.459203e+00,-9.420071e-02, 9.249497e-01,201
"32","Okanagan Region","MYCA", 0.059334725,0.04797867, 1.23668957,0.2162023514, 1.390513e-01, 9.123269e-01, 1.524139e-01, 8.788605e-01,201
"33","Okanagan Region","MYCI", 0.095733313,0.05033868, 1.90178444,0.0571993416, 1.170662e+00, 1.116764e+00, 1.048263e+00, 2.945176e-01,193
"34","Okanagan Region","MYEV", 0.027454440,0.06448622, 0.42574120,0.6702964406, 4.142791e-01, 1.111987e+00, 3.725573e-01, 7.094779e-01,164
"35","Okanagan Region","MYLU", 0.043330894,0.05028124, 0.86177056,0.3888137867, 1.442209e+00, 1.050744e+00, 1.372560e+00, 1.698893e-01,201
"36","Okanagan Region","MYTH",-0.085622880,0.06604107,-1.29650952,0.1948000029,-2.777806e+00, 9.132949e-01,-3.041521e+00, 2.353861e-03,185
"37","Okanagan Region","MYVO", 0.120799211,0.05695346, 2.12101604,0.0339204530,-7.554399e-01, 1.103436e+00,-6.846248e-01, 4.935807e-01,201
"38","Okanagan Region","MYYU",-0.098229134,0.08172136,-1.20200071,0.2293632531, 1.248272e+00, 1.727802e+00, 7.224623e-01, 4.700103e-01,164
"39","South Coastal Region","COTO", 0.195276589,0.05769843, 3.38443515,0.0007132487,-4.554040e+00, 9.546740e-01,-4.770257e+00, 1.839909e-06,328
"40","South Coastal Region","EPFU", 0.211558718,0.06478909, 3.26534504,0.0010933081,-4.731126e+00, 1.507206e+00,-3.139004e+00, 1.695230e-03,252
"41","South Coastal Region","EUMA", 0.225511301,0.24846192, 0.90762923,0.3640741436,-3.343770e+00, 4.426079e+00,-7.554699e-01, 4.499671e-01, 57
"42","South Coastal Region","LACI",-0.598969338,0.29776875,-2.01152521,0.0442700104,-8.156321e-01, 1.010260e+00,-8.073485e-01, 4.194657e-01,326
"43","South Coastal Region","LANO", 0.065741836,0.04908887, 1.33924110,0.1804921962, 3.853258e-01, 1.995090e+00, 1.931370e-01, 8.468517e-01,292
"44","South Coastal Region","MYCA", 0.100986883,0.03523960, 2.86572195,0.0041605951, 1.246434e-01, 6.529174e-01, 1.909022e-01, 8.486022e-01,292
"45","South Coastal Region","MYEV", 0.078470489,0.05088569, 1.54209331,0.1230509197,-1.576405e+00, 9.107251e-01,-1.730934e+00, 8.346357e-02,249
"46","South Coastal Region","MYLU", 0.109328761,0.04133108, 2.64519488,0.0081643881,-1.660514e+00, 8.391263e-01,-1.978861e+00, 4.783170e-02,292
"47","South Coastal Region","MYTH", 0.163807060,0.15652009, 1.04655614,0.2953043377,-6.864888e+00, 2.118470e+00,-3.240493e+00, 1.193233e-03,111
"48","South Coastal Region","MYVO", 0.091585115,0.03616880, 2.53215773,0.0113362984,-7.725368e-01, 6.878318e-01,-1.123148e+00, 2.613747e-01,292
"49","South Coastal Region","MYYU", 0.228035982,0.05999508, 3.80091168,0.0001441647,-1.783757e+00, 9.091855e-01,-1.961929e+00, 4.977078e-02,249
